Indice;Fecha;Open;Close;Variacion diaria;Descripcion
70;2021-03-12;57821.21875;57332.08984400001;-489.1289059999908;Baja
71;2021-03-13;57343.37109400001;61243.085938;3899.7148439999874;Sube
72;2021-03-14;61221.132813;59302.31640599999;-1918.8164070000057;Baja
73;2021-03-15;59267.429688;55907.19921900001;-3360.2304689999874;Baja
74;2021-03-16;55840.78515599999;56804.90234400001;964.1171880000184;Sube
75;2021-03-17;56825.828125;58870.89453099999;2045.0664059999908;Sube
76;2021-03-18;58893.078125;57858.921875;-1034.15625;Baja
77;2021-03-19;57850.44140599999;58346.65234400001;496.21093800001836;Sube
78;2021-03-20;58332.26171900001;58313.64453099999;-18.61718800001836;Baja
79;2021-03-21;58309.914063;57523.421875;-786.4921879999965;Baja
80;2021-03-22;57517.890625;54529.14453099999;-2988.746094000009;Baja
81;2021-03-23;54511.66015599999;54738.945313;227.2851570000057;Sube
82;2021-03-24;54710.48828099999;52774.265625;-1936.2226559999908;Baja
83;2021-03-25;52726.746094;51704.160156;-1022.5859380000038;Baja
84;2021-03-26;51683.011719;55137.3125;3454.300780999998;Sube
85;2021-03-27;55137.56640599999;55973.51171900001;835.9453130000184;Sube
86;2021-03-28;55974.94140599999;55950.74609400001;-24.19531199998164;Baja
87;2021-03-29;55947.898438;57750.19921900001;1802.3007810000126;Sube
88;2021-03-30;57750.132813;58917.69140599999;1167.5585929999943;Sube
89;2021-03-31;58930.27734400001;58918.83203099999;-11.44531300001836;Baja
90;2021-04-01;58926.5625;59095.80859400001;169.24609400000918;Sube
91;2021-04-02;59098.87890599999;59384.3125;285.4335940000092;Sube
92;2021-04-03;59397.41015599999;57603.890625;-1793.5195309999908;Baja
93;2021-04-04;57604.83984400001;58758.554688;1153.7148439999874;Sube
94;2021-04-05;58760.875;59057.87890599999;297.0039059999908;Sube
95;2021-04-06;59171.93359400001;58192.359375;-979.5742190000092;Baja
96;2021-04-07;58186.507813;56048.9375;-2137.5703129999965;Baja
97;2021-04-08;56099.914063;58323.953125;2224.0390620000035;Sube
98;2021-04-09;58326.5625;58245.00390599999;-81.55859400000918;Baja
99;2021-04-10;58253.77734400001;59793.234375;1539.4570309999908;Sube
100;2021-04-11;59846.23046900001;60204.96484400001;358.734375;Sube
101;2021-04-12;60175.945313;59893.453125;-282.49218799999653;Baja
102;2021-04-13;59890.01953099999;63503.45703099999;3613.4375;Sube
103;2021-04-14;63523.75390599999;63109.695313;-414.0585929999943;Baja
104;2021-04-15;63075.195313;63314.01171900001;238.81640600001265;Sube
105;2021-04-16;63258.50390599999;61572.789063;-1685.7148429999943;Baja
106;2021-04-17;61529.921875;60683.820313;-846.1015620000035;Baja
107;2021-04-18;60701.88671900001;56216.18359400001;-4485.703125;Baja
108;2021-04-19;56191.585938;55724.265625;-467.32031299999653;Baja
109;2021-04-20;55681.79296900001;56473.03125;791.2382809999908;Sube
110;2021-04-21;56471.12890599999;53906.08984400001;-2565.0390619999816;Baja
111;2021-04-22;53857.10546900001;51762.273438;-2094.8320310000126;Baja
112;2021-04-23;51739.808594;51093.652344;-646.15625;Baja
113;2021-04-24;51143.226563;50050.867188;-1092.359375;Baja
114;2021-04-25;50052.832031;49004.253906;-1048.578125;Baja
115;2021-04-26;49077.792969;54021.75390599999;4943.960936999989;Sube
116;2021-04-27;54030.304688;55033.117188;1002.8125;Sube
117;2021-04-28;55036.63671900001;54824.703125;-211.93359400000918;Baja
118;2021-04-29;54858.08984400001;53555.109375;-1302.9804690000092;Baja
119;2021-04-30;53568.664063;57750.17578099999;4181.511717999994;Sube
